,PGrid,PD,PDL2,PGridL2,PGridI,PDI,PAC1,PAC1L2,PAC1AC2,PAC1DC,Dcurt,Dcurt_critical,PpvIC,PpvICCurt,pvICB,DCI,DCAC2,pvICL2,PpvOnG,PpvOnGCurt,PpvOnGAC2,Pdch,SOC,PBDCAC2
0,2001.7330335527804,0.0,0.0,0.0,2001.7330335527804,0.0,2001.7330335527804,0.0,2001.7330335527804,0.0,5870.787794250171,0.0,2658.740285445575,0.0,0.0,2605.5654797366633,0.0,2475.28720574983,2215.616904537979,0.0,2171.3045664472193,0.0,5.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5174.848606863377,0.0,4224.506042229614,0.0,0.0,4140.015921385021,735.9457321791479,3197.0693931366222,3520.4217018580125,0.0,3450.013267820852,0.0,5.0,0.0
2,4185.499,0.0,0.0,0.0,4185.499,0.0,4185.499,0.0,4185.499,0.0,8370.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
3,4177.538,0.0,0.0,0.0,4177.538,0.0,4177.538,0.0,4177.538,0.0,8355.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
4,4149.903,0.0,0.0,0.0,4149.903,0.0,4149.903,0.0,4149.903,0.0,8299.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
5,4105.8286,0.0,0.0,0.0,4105.8286,0.0,4105.8286,0.0,4105.8286,0.0,8211.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
6,1625.6483980084981,0.0,0.0,0.0,1625.6483980084981,0.0,1625.6483980084981,0.0,1625.6483980084981,0.0,5345.002143729689,0.0,2981.0707371324506,0.0,0.0,2921.4493223898016,0.0,2775.3768562703112,2484.225614277043,0.0,2434.541101991502,0.0,5.0,0.0
7,1172.9416731876636,0.0,0.0,0.0,1172.9416731876636,0.0,1172.9416731876636,0.0,1172.9416731876636,0.0,7999.036,0.0,1617.3429297037974,0.0,0.0,1584.9960711097215,1505.7462675542354,0.0,1347.7857747531643,0.0,1320.830059258101,0.0,5.0,0.0
8,3290.5289964357926,0.0,0.0,0.0,3290.5289964357926,0.0,3290.5289964357926,0.0,3290.5289964357926,0.0,7141.150195936803,0.0,797.4734737520906,1.1368683772161603e-13,0.0,781.5240042770488,0.0,742.4478040631964,664.5612281267422,0.0,651.2700035642074,0.0,5.0,0.0
9,3474.6920018965448,0.0,0.0,0.0,3474.6920018965448,0.0,3474.6920018965448,0.0,3474.6920018965448,0.0,7286.892980162061,0.0,480.5538344123941,5.684341886080802e-14,0.0,470.9427577241462,0.0,447.3956198379389,400.4615286769951,0.0,392.4522981034552,0.0,5.0,0.0
10,3428.8554790441435,0.0,0.0,0.0,3428.8554790441435,0.0,3428.8554790441435,0.0,3428.8554790441435,0.0,7180.424686110323,0.0,459.4879848439058,5.684341886080802e-14,0.0,450.29822514702767,0.0,427.7833138896763,382.9066540365882,0.0,375.2485209558564,0.0,5.0,0.0
11,3513.4516666749696,0.0,0.0,0.0,3513.4516666749696,0.0,3513.4516666749696,0.0,3513.4516666749696,0.0,7210.786068009481,0.0,261.8168979489999,0.0,0.0,256.5805599900199,0.0,243.75153199051888,218.1807482908332,0.0,213.81713332501653,1.4260876923799515e-11,4.999999999999974,1.3547833077609538e-11
